2018,2019,OH,Ohio,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,24.4,24.4,,,19.9,29.6,Overall,Overall,39,NPAW,NPW07,CRDPREV,OVERALL,OVR
2018,2019,NY,New York,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.6,26.6,,,20.0,34.4,Age,Age 6-9,36,NPAW,NPW07,CRDPREV,AGE,AGE6_9
2018,2019,NH,New Hampshire,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,31.6,31.6,,,24.4,39.8,Age,Age 6-9,33,NPAW,NPW07,CRDPREV,AGE,AGE6_9
2018,2019,SC,South Carolina,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,31.8,31.8,,,24.8,39.9,Age,Age 6-9,45,NPAW,NPW07,CRDPREV,AGE,AGE6_9
2018,2019,AR,Arkansas,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",5,NPAW,NPW07,CRDPREV,RACE,HAPI
2018,2019,NV,Nevada,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,17.2,17.2,,,12.0,24.1,Sex,Male,32,NPAW,NPW07,CRDPREV,SEX,SEXM
2018,2019,MT,Montana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,Hispanic,30,NPAW,NPW07,CRDPREV,RACE,HIS
2018,2019,VT,Vermont,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",50,NPAW,NPW07,CRDPREV,RACE,AIAN
2018,2019,MA,Massachusetts,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",25,NPAW,NPW07,CRDPREV,RACE,MRC
2018,2019,NJ,New Jersey,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",34,NPAW,NPW07,CRDPREV,RACE,AIAN
2018,2019,OR,Oregon,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,27.4,27.4,,,20.3,35.9,Sex,Female,41,NPAW,NPW07,CRDPREV,SEX,SEXF
2018,2019,WY,Wyoming,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,29.7,29.7,,,24.9,35.1,Race/Ethnicity,"White, non-Hispanic",56,NPAW,NPW07,CRDPREV,RACE,WHT
2018,2019,KY,Kentucky,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,38.6,38.6,,,31.1,46.6,Age,Age 6-9,21,NPAW,NPW07,CRDPREV,AGE,AGE6_9
2018,2019,MS,Mississippi,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,28.8,28.8,,,24.1,34.1,Overall,Overall,28,NPAW,NPW07,CRDPREV,OVERALL,OVR
2018,2019,AR,Arkansas,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,34.6,34.6,,,26.8,43.4,Age,Age 6-9,5,NPAW,NPW07,CRDPREV,AGE,AGE6_9
2018,2019,CO,Colorado,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",8,NPAW,NPW07,CRDPREV,RACE,MRC
2018,2019,US,United States,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,29.9,29.9,,,28.3,31.6,Age,Age 6-9,59,NPAW,NPW07,CRDPREV,AGE,AGE6_9
2018,2019,WA,Washington,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.6,26.6,,,21.1,32.9,Overall,Overall,53,NPAW,NPW07,CRDPREV,OVERALL,OVR
2018,2019,RI,Rhode Island,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",44,NPAW,NPW07,CRDPREV,RACE,MRC
2018,2019,WV,West Virginia,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",54,NPAW,NPW07,CRDPREV,RACE,HAPI
2018,2019,AL,Alabama,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,25.8,25.8,,,19.3,33.7,Sex,Male,1,NPAW,NPW07,CRDPREV,SEX,SEXM
2018,2019,SD,South Dakota,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",46,NPAW,NPW07,CRDPREV,RACE,MRC
2018,2019,IL,Illinois,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",17,NPAW,NPW07,CRDPREV,RACE,HAPI
2018,2019,AL,Alabama,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.7,26.7,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,16.5,40.2,Race/Ethnicity,"Black, non-Hispanic",1,NPAW,NPW07,CRDPREV,RACE,BLK
2018,2019,MI,Michigan,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,27.9,27.9,,,20.5,36.7,Sex,Female,26,NPAW,NPW07,CRDPREV,SEX,SEXF
